model_name,digest_nr,kv_cache
nhn-small:latest, 123456, q8_0
nhn-large:latest, 123456789, q8_0
magistral:24b-small-2506-q8_0, ,Q8_0
gemma3:27b,a418f5838eaf, Q4_K_M
devstral:24b-small-2505-q8_0,c18053977578,Q8_0
devstral:24b-small-2505-fp16,00d8e20b5637,F16
qwen3:1.7b-fp16,e9354f6174db,F16
qwen3:1.7b-q8_0,29b6a7a420a4,Q8_0
codeqwen:chat,df352abf55b1,Q4_0
deepseek-r1:32b-qwen-distill-fp16,20ed0f80363b,F16
dolphin3:8b-llama3.1-fp16,b0941c6f3226,F16
dolphin3:8b-llama3.1-q8_0,e3310b61ffdb,Q8_0
mixtral:v0.1,e8479ee1cb51,Q4_0
mixtral:8x7b,a3b6bef0f836,Q4_0
mixtral:8x7b-instruct-v0.1-q8_0,4b4321b5a853,Q8_0
